Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_20_129,VSS,Metal1,67.9200,90.7200,0.000261
FILLER_20_122,VSS,Metal1,66.0060,91.1800,0.000261
FILLER_20_115,VSS,Metal1,62.6460,91.1800,0.000267
FILLER_20_108,VSS,Metal1,59.2860,91.1800,0.000269
FILLER_20_101,VSS,Metal1,55.9260,91.1800,0.000269
FILLER_20_81,VSS,Metal1,45.1200,90.7200,0.000237
FILLER_20_74,VSS,Metal1,42.9660,91.1800,0.000237
FILLER_20_51,VSS,Metal1,30.7200,90.7200,0.000112
FILLER_20_32,VSS,Metal1,22.8060,91.1800,0.000065
FILLER_20_25,VSS,Metal1,19.4460,91.1800,0.000070
FILLER_20_0,VSS,Metal1,7.4460,91.1800,0.000090
FILLER_19_245,VSS,Metal1,123.8400,90.7200,0.001079
FILLER_19_235,VSS,Metal1,118.8000,90.7200,0.001059
FILLER_19_204,VSS,Metal1,103.9200,90.7200,0.000199
FILLER_19_187,VSS,Metal1,96.0000,90.7200,0.000119
FILLER_19_180,VSS,Metal1,93.8460,90.2590,0.000119
FILLER_19_173,VSS,Metal1,90.4860,90.2590,0.000174
FILLER_19_145,VSS,Metal1,75.8400,90.7200,0.000228
FILLER_19_138,VSS,Metal1,73.6860,90.2590,0.000235
FILLER_19_125,VSS,Metal1,66.0000,90.7200,0.000261
FILLER_19_121,VSS,Metal1,64.7880,90.3430,0.000261
FILLER_19_93,VSS,Metal1,50.6400,90.7200,0.000254
FILLER_19_86,VSS,Metal1,48.7260,90.2590,0.000237
FILLER_19_79,VSS,Metal1,45.3660,90.2590,0.000237
FILLER_19_72,VSS,Metal1,42.0060,90.2590,0.000237
FILLER_19_65,VSS,Metal1,38.6460,90.2590,0.000237
FILLER_19_61,VSS,Metal1,35.2800,90.7200,0.000132
FILLER_19_56,VSS,Metal1,32.8800,90.7200,0.000118
FILLER_19_54,VSS,Metal1,32.1600,90.7200,0.000118
FILLER_19_47,VSS,Metal1,30.0060,90.2590,0.000112
FILLER_19_28,VSS,Metal1,19.6800,90.7200,0.000070
FILLER_19_24,VSS,Metal1,18.2280,90.3430,0.000070
FILLER_19_2,VSS,Metal1,6.9600,90.7200,0.000090
FILLER_19_0,VSS,Metal1,6.2400,90.7200,0.000090
FILLER_18_202,VSS,Metal1,103.2000,83.1600,0.000169
FILLER_18_167,VSS,Metal1,86.1600,83.1600,0.000144
FILLER_18_165,VSS,Metal1,85.4400,83.1600,0.000147
FILLER_18_155,VSS,Metal1,80.4000,83.1600,0.000192
FILLER_18_153,VSS,Metal1,79.6800,83.1600,0.000201
FILLER_18_146,VSS,Metal1,77.5260,83.6200,0.000215
FILLER_18_119,VSS,Metal1,63.3600,83.1600,0.000315
FILLER_18_112,VSS,Metal1,61.2060,83.6200,0.000315
FILLER_18_99,VSS,Metal1,54.2280,83.5360,0.000313
FILLER_18_92,VSS,Metal1,51.6060,83.6200,0.000310
FILLER_18_88,VSS,Metal1,48.2400,83.1600,0.000299
FILLER_18_81,VSS,Metal1,44.8800,83.1600,0.000278
FILLER_18_69,VSS,Metal1,39.3600,83.1600,0.000194
FILLER_18_65,VSS,Metal1,37.9080,83.5360,0.000190
FILLER_18_58,VSS,Metal1,35.2860,83.6200,0.000155
FILLER_18_51,VSS,Metal1,31.9260,83.6200,0.000149
FILLER_18_38,VSS,Metal1,24.2400,83.1600,0.000047
FILLER_18_31,VSS,Metal1,22.3260,83.6200,0.000054
FILLER_18_24,VSS,Metal1,18.9660,83.6200,0.000058
FILLER_18_17,VSS,Metal1,15.6060,83.6200,0.000061
FILLER_18_8,VSS,Metal1,10.0800,83.1600,0.000067
FILLER_18_4,VSS,Metal1,8.6280,83.5360,0.000070
FILLER_17_237,VSS,Metal1,119.7600,83.1600,0.000373
FILLER_17_221,VSS,Metal1,112.3200,83.1600,0.000335
FILLER_17_206,VSS,Metal1,105.1200,83.1600,0.000169
FILLER_17_195,VSS,Metal1,99.6000,83.1600,0.000084
FILLER_17_182,VSS,Metal1,94.0680,82.7830,0.000100
FILLER_17_175,VSS,Metal1,91.4460,82.6990,0.000101
FILLER_17_168,VSS,Metal1,88.0860,82.6990,0.000128
FILLER_17_161,VSS,Metal1,83.5200,83.1600,0.000170
FILLER_17_154,VSS,Metal1,81.3660,82.6990,0.000192
FILLER_17_147,VSS,Metal1,78.0060,82.6990,0.000213
FILLER_17_140,VSS,Metal1,74.6460,82.6990,0.000279
FILLER_17_126,VSS,Metal1,66.4800,83.1600,0.000310
FILLER_17_124,VSS,Metal1,65.7600,83.1600,0.000313
