Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_20_139,VDD,Metal1,74.1690,93.9010,1.196975
FILLER_20_129,VDD,Metal1,67.9200,94.5000,1.196978
FILLER_20_122,VDD,Metal1,66.0090,93.9010,1.196980
FILLER_20_115,VDD,Metal1,62.6490,93.9010,1.196981
FILLER_20_108,VDD,Metal1,59.2890,93.9010,1.196985
FILLER_20_101,VDD,Metal1,55.9290,93.9010,1.196990
FILLER_20_81,VDD,Metal1,45.1200,94.5000,1.198358
FILLER_20_74,VDD,Metal1,42.9690,93.9010,1.198403
FILLER_20_51,VDD,Metal1,30.7200,94.5000,1.198897
FILLER_20_32,VDD,Metal1,22.8090,93.9010,1.199024
FILLER_20_25,VDD,Metal1,19.4490,93.9010,1.199936
FILLER_20_0,VDD,Metal1,7.4490,93.9010,1.199914
FILLER_19_245,VDD,Metal1,123.8400,86.9400,1.199640
FILLER_19_235,VDD,Metal1,118.8000,86.9400,1.199641
FILLER_19_204,VDD,Metal1,103.9200,86.9400,1.199795
FILLER_19_187,VDD,Metal1,96.0000,86.9400,1.199807
FILLER_19_180,VDD,Metal1,93.8490,87.5380,1.199813
FILLER_19_173,VDD,Metal1,90.4890,87.5380,1.199770
FILLER_19_145,VDD,Metal1,75.8400,86.9400,1.199436
FILLER_19_138,VDD,Metal1,73.6890,87.5380,1.199321
FILLER_19_125,VDD,Metal1,66.0000,86.9400,1.199233
FILLER_19_121,VDD,Metal1,64.8110,87.5360,1.198995
FILLER_19_93,VDD,Metal1,50.6400,86.9400,1.198794
FILLER_19_86,VDD,Metal1,48.7290,87.5380,1.198788
FILLER_19_79,VDD,Metal1,45.3690,87.5380,1.198784
FILLER_19_72,VDD,Metal1,42.0090,87.5380,1.198756
FILLER_19_65,VDD,Metal1,38.6490,87.5380,1.198754
FILLER_19_61,VDD,Metal1,35.2800,86.9400,1.198629
FILLER_19_56,VDD,Metal1,32.8800,86.9400,1.198626
FILLER_19_54,VDD,Metal1,32.1600,86.9400,1.198626
FILLER_19_47,VDD,Metal1,30.0090,87.5380,1.198611
FILLER_19_28,VDD,Metal1,19.6800,86.9400,1.199981
FILLER_19_24,VDD,Metal1,18.2510,87.5360,1.199977
FILLER_19_2,VDD,Metal1,6.9600,86.9400,1.199868
FILLER_19_0,VDD,Metal1,6.2400,86.9400,1.199868
FILLER_18_202,VDD,Metal1,103.2000,86.9400,1.199802
FILLER_18_167,VDD,Metal1,86.1600,86.9400,1.199664
FILLER_18_165,VDD,Metal1,85.4400,86.9400,1.199654
FILLER_18_155,VDD,Metal1,80.4000,86.9400,1.199500
FILLER_18_153,VDD,Metal1,79.6800,86.9400,1.199500
FILLER_18_146,VDD,Metal1,77.5290,86.3410,1.199494
FILLER_18_119,VDD,Metal1,63.3600,86.9400,1.198919
FILLER_18_112,VDD,Metal1,61.2090,86.3410,1.198801
FILLER_18_99,VDD,Metal1,54.2510,86.3430,1.198799
FILLER_18_92,VDD,Metal1,51.6090,86.3410,1.198788
FILLER_18_88,VDD,Metal1,48.2400,86.9400,1.198785
FILLER_18_81,VDD,Metal1,44.8800,86.9400,1.198784
FILLER_18_69,VDD,Metal1,39.3600,86.9400,1.198754
FILLER_18_65,VDD,Metal1,37.9310,86.3430,1.198754
FILLER_18_58,VDD,Metal1,35.2890,86.3410,1.198629
FILLER_18_51,VDD,Metal1,31.9290,86.3410,1.198626
FILLER_18_38,VDD,Metal1,24.2400,86.9400,1.198639
FILLER_18_31,VDD,Metal1,22.3290,86.3410,1.198645
FILLER_18_24,VDD,Metal1,18.9690,86.3410,1.199977
FILLER_18_17,VDD,Metal1,15.6090,86.3410,1.199910
FILLER_18_8,VDD,Metal1,10.0800,86.9400,1.199874
FILLER_18_4,VDD,Metal1,8.6510,86.3430,1.199870
FILLER_17_237,VDD,Metal1,119.7600,79.3800,1.198943
FILLER_17_221,VDD,Metal1,112.3200,79.3800,1.198943
FILLER_17_206,VDD,Metal1,105.1200,79.3800,1.199163
FILLER_17_195,VDD,Metal1,99.6000,79.3800,1.199772
FILLER_17_182,VDD,Metal1,94.0910,79.9760,1.199772
