net,length_um
_0150_,3.225µm
_0114_,3.18µm
_0052_,3.14µm
_0138_,3.14µm
_0267_,3.14µm
_0176_,3.13µm
_0246_,3.13µm
_0400_,3.13µm
_0142_,3.06µm
net123,3.06µm
net127,3.06µm
_0100_,3µm
_0192_,3µm
_0219_,3µm
_0418_,3µm
_0441_,3µm
_0013_,2.94µm
_0065_,2.94µm
_0292_,2.94µm
_0381_,2.94µm
_0480_,2.94µm
_0486_,2.94µm
_0063_,2.855µm
_0109_,2.79µm
_0031_,2.76µm
_0220_,2.76µm
_0405_,2.76µm
_0178_,2.755µm
_0205_,2.755µm
_0258_,2.755µm
_0353_,2.755µm
_0417_,2.755µm
_0415_,2.66µm
net143,2.66µm
net121,2.58µm
_0401_,2.52µm
_0468_,2.35µm
_0416_,2.34µm
_0298_,2.28µm
_0000_,2.22µm
_0089_,2.18µm
net109,2.1µm
_0006_,1.92µm
_0075_,1.86µm
_0005_,1.8µm
_0008_,1.8µm
_0014_,1.8µm
_0017_,1.8µm
_0018_,1.8µm
_0163_,1.8µm
_0170_,1.8µm
_0487_,1.8µm
_0016_,0.96µm
_0024_,0.96µm
_0032_,0.96µm
_0165_,0.96µm
net94,0.96µm
net96,0.96µm
net98,0.96µm
net115,0.96µm
