2026-02-08 21:26:31 +0000: Memory Usage (435372K) : metal5_res has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (435372K) : metal5_iprobe has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (435500K) : metal5_diffprb has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (435500K) : radhard_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (435628K) : memcap_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (435628K) : varicap_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (435756K) : flash_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (435756K) : intbondvia_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (435884K) : intbondmet_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (435884K) : devbondvia_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436012K) : devbondmet_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436012K) : devtrench_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436140K) : redist_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436140K) : graphbot_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436268K) : graphtop_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436268K) : antvia1_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436396K) : antmetal2_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : graphcont_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : siwg_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : siwg_filler has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : siwg_nofill has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : sigrating_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : singrating_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : graphpas_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : emwind3_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : emwihv3_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : redbulay_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : smos_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : graphpad_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : polimide_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : polimide_pin has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : recog_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : recog_pin has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : recog_esd has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : recog_diode has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : recog_tsv has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : recog_iprobe has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : recog_diffprb has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : recog_pillar has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : recog_sbump has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : recog_otp has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : recog_pdiode has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : recog_mom has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : recog_pcm has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : colopen_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : graphmetal1_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : graphmetal1_filler has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : graphmetal1_nofill has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : graphmetal1_slit has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : graphmetal1_opc has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : graphmet1l_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : graphmet1l_filler has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : graphmet1l_nofill has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : graphmet1l_slit has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : graphmet1l_opc has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : extblock_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : nldd_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : pldd_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : next_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : pext_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : nexthv_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : pexthv_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : graphgate_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : sinwg_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : sinwg_filler has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : sinwg_nofill has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : mempad_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : topvia1_drw has 128 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : topmetal1_drw has 4 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : topmetal1_pin has 4 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : topmetal1_mask has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436524K) : topmetal1_filler has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436652K) : topmetal1_nofill has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436652K) : topmetal1_slit has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436780K) : topmetal1_text has 4 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436780K) : topmetal1_noqrc has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436908K) : topmetal1_res has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (436908K) : topmetal1_iprobe has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (437036K) : topmetal1_diffprb has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (437036K) : inldpwl_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (437164K) : polyres_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (437164K) : polyres_pin has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (437292K) : vmim_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (437292K) : nbulaycut_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (437420K) : antmetal1_drw has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (437420K) : topvia2_drw has 8 polygons
2026-02-08 21:26:31 +0000: Memory Usage (437548K) : topmetal2_drw has 4 polygons
2026-02-08 21:26:31 +0000: Memory Usage (437548K) : topmetal2_pin has 4 polygons
2026-02-08 21:26:31 +0000: Memory Usage (437676K) : topmetal2_mask has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (437676K) : topmetal2_filler has 0 polygons
2026-02-08 21:26:31 +0000: Memory Usage (437804K) : topmetal2_nofill has 0 polygons
